,0
99832,8
99863,3
99868,1
99870,1
99871,5
99872,15
100171,5
100172,14
102342,6
118593,5
118649,8
119283,1
119284,1
119285,2
125478,15
133240,6
133241,12
133248,1
133249,18
0,448
11435,2
36164,1
43273,2
75115,2
78585,1
99344,8
99345,1
99346,11
99356,8
99383,5
99387,1
99388,2
99389,5
99390,1
99391,15
99693,18
100098,18
100099,2
101843,6
106917,2
106958,1
106959,1
107018,1
107019,1
107020,1
107037,2
107040,1
107041,1
107053,1
107076,1
107077,1
107095,1
107135,5
107196,1
107197,1
107252,1
107259,1
107319,4
107380,3
107391,1
107441,2
107449,1
107451,1
107452,1
107457,3
107462,2
107465,1
107486,1
107490,1
107492,2
107551,1
107554,1
107610,1
107616,1
107675,2
107676,2
107735,1
107736,1
107795,2
107797,1
107860,3
107869,1
107875,1
107880,3
107915,1
107916,2
107975,2
107976,1
108039,2
108095,1
108099,1
108100,1
108108,1
108123,1
108155,1
108156,1
108157,1
108170,2
108181,1
108183,1
108185,1
108194,1
108214,3
108287,1
108292,1
108296,1
108299,1
108309,1
108334,3
108396,2
108452,1
108456,2
108518,1
108575,1
108577,2
108579,2
108637,1
108639,1
108640,1
108699,1
108702,1
108712,1
108714,3
108719,1
108721,1
108736,1
108753,1
108757,1
108811,1
108812,1
108815,2
108816,1
108877,1
108899,2
108999,2
109000,2
109125,1
109126,1
109186,1
109381,1
109508,1
109569,1
109582,1
109584,1
109600,2
109629,1
109691,2
109753,1
109816,2
110008,1
110198,1
110261,1
110325,1
110387,1
110450,2
110511,1
110512,1
110573,1
110574,1
110701,1
110763,1
110827,1
110906,1
110952,2
111014,1
111078,1
111141,1
111202,1
111266,1
111394,1
111456,1
111477,2
111582,1
111645,1
111835,2
111962,1
113881,1
114157,2
114645,1
114709,1
115540,1
116370,1
116519,1
117895,1
117896,9
117952,8
118584,8
119052,2
121674,2
123976,2
124771,15
125614,1
125619,1
125664,1
125680,1
125690,1
126556,1
126577,2
128943,1
131246,2
131425,1
131438,1
132519,19
132530,2
132531,14
132589,1
2559,1
10826,10
16423,3
16505,1
21055,1
22436,3
22683,1
99791,1
99812,7
99851,1
99852,1
99854,2
99856,3
99857,13
100158,18
100564,3
100565,12
100566,2
102311,6
107390,3
107554,1
107614,1
107999,1
108000,1
108054,1
108125,1
108445,1
108696,1
108753,1
108762,1
108821,1
108884,1
108887,1
110674,1
112111,1
114798,1
117165,2
118540,6
118597,7
119231,1
119232,4
119705,2
122329,1
125422,15
126317,1
127209,1
127211,1
131909,1
133183,1
133188,3
133189,1
133190,1
133191,2
133200,1
133201,2
133203,12
133266,1
6701,5
7776,5
7794,4
8200,5
8823,6
8931,2
9063,1
28644,4
32351,1
55199,1
55260,1
55708,1
60544,1
66009,1
67610,1
79063,1
79447,1
85910,1
91025,1
99760,1
99762,1
99764,1
99783,1
99786,7
99817,4
99821,4
99822,1
99823,1
99825,15
99888,1
100126,18
100530,18
100532,2
100533,1
101895,1
102274,6
107344,1
107347,1
107361,2
107381,2
107387,1
107402,1
107446,1
107447,1
107463,1
107469,1
107480,1
107483,1
107486,1
107491,1
107493,1
107499,2
107502,1
107517,1
107526,1
107535,1
107557,2
107558,1
107654,1
107681,1
107685,1
107697,1
107741,1
107742,1
107743,1
107804,1
107820,1
107823,2
107832,1
107867,1
107875,1
107876,1
107877,2
107880,1
